Location_Name,Latitude,Longitude,Financial_Institution_Type,Address,City_ST_Zip,State,Website,Phone,Color
Affiliated Tribes of Northwest Indians Economic Development Corporation (ATNI-EDC),45.52251419,-122.5625991,Loan Fund,9836 E Burnside St,"Portland, OR 97216",OR,https://atniedc.com/,503-477-8568,#000
Akiptan,44.99946623,-101.2344153,Loan Fund,408 S Main St,"Eagle Butte, SD 57625",SD,https://www.akiptan.org/,605-301-0581,#000
Black Hills Community Loan Fund,44.07647131,-103.1827899,Loan Fund,1764 Ctr St Ste 1,"Rapid City, SD 57703",SD,https://bhclf.org/,605-519-5124,#000
"Chi Ishobak, Inc.",41.95915189,-86.08939346,Loan Fund,27043 Potawatomi Trl,"Dowagiac, MI 49047",MI,https://www.chiishobak.org/,269-783-4157,#000
Chickasaw Community Bank,35.6084355,-97.64675346,Bank,7500 W Memorial Rd,"Oklahoma City, OK 73142",OK,https://www.ccb.bank/,405-946-2265,#000
Choctaw Federal Credit Union,32.77131015,-89.19138928,Credit Union,203 Choctaw Town Ctr,"Philadelphia, MS 39350",MS,https://choctaw.virtualcu.net/, 601-676-0566,#000
Citizen Potawatomi Community Development Corporation,35.30297429,-96.92539783,Loan Fund,1545 Gordon Cooper Dr,"Shawnee, OK 74801",OK,https://cpcdc.org/,405-878-4697,#000
Community Development Financial Institution of the Tohono O'odham Nation,31.9150118,-111.8876608,Loan Fund,"1 Main St, Tohono Plz Ste 201","Sells, AZ 85634",AZ,https://cdfiton.org/,520-383-0790,#000
Cook Inlet Lending Center,61.18780001,-149.9098316,Loan Fund,"3600 Spenard Rd, Ste 100","Anchorage, AK 99503",AK,https://cookinletlending.com/,907-793-3058,#000
Council for Native Hawaiian Advancement,21.33843432,-158.0555847,Loan Fund,"91-1270 Kinoiki St, Bldg. 1","Kapolei, HI 96707",HI,https://www.hawaiiancouncil.org/,808-596-8155,#000
First American Capital Corporation,42.93997401,-88.04710044,Loan Fund,10710 W Scharles Ave,"Hale Corners, WI 53130",WI,https://www.aiccw-facc.org/,414-604-2044,#000
First Nations Community Financial,44.29275485,-90.84246308,Loan Fund,206 S. Roosevelt Rd Ste 123,"Black River Falls, WI 54615",WI,https://firstnationsfinancial.org/,715-284-2470,#000
Five Rivers Loan Fund,41.7901003,-123.3816605,Loan Fund,PO Box 805,"Happy Camp, CA 96039",CA,https://5rlf.org/,530-493-2558,#000
