year,state,state_po,state_fips,state_cen,state_ic,district,office,stage,runoff,special,candidate,party,writein,mode,candidatevotes,winner,totalvotes,unofficial,version,fips
2018,California,CA,6,93,71,0601,US House,gen,NA,FALSE,Doug La Malfa,republican,FALSE,total,160046,TRUE,291594,FALSE,20200424,693711
2018,California,CA,6,93,71,0602,US House,gen,NA,FALSE,Jared Huffman,democrat,FALSE,total,243081,TRUE,315657,FALSE,20200424,693712
2018,California,CA,6,93,71,0603,US House,gen,NA,FALSE,John Garamendi,democrat,FALSE,total,134875,TRUE,232251,FALSE,20200424,693713
2018,California,CA,6,93,71,0604,US House,gen,NA,FALSE,Tom McClintock,republican,FALSE,total,184401,TRUE,340654,FALSE,20200424,693714
2018,California,CA,6,93,71,0605,US House,gen,NA,FALSE,Mike Thompson,democrat,FALSE,total,205860,TRUE,261018,FALSE,20200424,693715
2018,California,CA,6,93,71,0606,US House,gen,NA,FALSE,Doris Matsui,democrat,FALSE,total,162411,TRUE,201939,FALSE,20200424,693716
2018,California,CA,6,93,71,0607,US House,gen,NA,FALSE,Ami Bera,democrat,FALSE,total,155016,TRUE,281617,FALSE,20200424,693717
2018,California,CA,6,93,71,0608,US House,gen,NA,FALSE,Paul Cook,republican,FALSE,total,102415,TRUE,170785,FALSE,20200424,693718
2018,California,CA,6,93,71,0609,US House,gen,NA,FALSE,Jerry McNerney,democrat,FALSE,total,113414,TRUE,200763,FALSE,20200424,693719
2018,California,CA,6,93,71,0610,US House,gen,NA,FALSE,Josh Harder,democrat,FALSE,total,115945,TRUE,221900,FALSE,20200424,6937110
2018,California,CA,6,93,71,0611,US House,gen,NA,FALSE,Mark DeSaulnier,democrat,FALSE,total,204369,TRUE,275681,FALSE,20200424,6937111
2018,California,CA,6,93,71,0612,US House,gen,NA,FALSE,Nancy Pelosi,democrat,FALSE,total,275292,TRUE,317072,FALSE,20200424,6937112
2018,California,CA,6,93,71,0613,US House,gen,NA,FALSE,Barbara Lee,democrat,FALSE,total,260580,TRUE,294837,FALSE,20200424,6937113
2018,California,CA,6,93,71,0614,US House,gen,NA,FALSE,Jackie Speier,democrat,FALSE,total,211384,TRUE,266823,FALSE,20200424,6937114
2018,California,CA,6,93,71,0615,US House,gen,NA,FALSE,Eric Swalwell,democrat,FALSE,total,177989,TRUE,243929,FALSE,20200424,6937115
2018,California,CA,6,93,71,0616,US House,gen,NA,FALSE,Jim Costa,democrat,FALSE,total,82266,TRUE,142959,FALSE,20200424,6937116
2018,California,CA,6,93,71,0617,US House,gen,NA,FALSE,Ro Khanna,democrat,FALSE,total,159105,TRUE,211162,FALSE,20200424,6937117
2018,California,CA,6,93,71,0618,US House,gen,NA,FALSE,Anna G. Eshoo,democrat,FALSE,total,225142,TRUE,302238,FALSE,20200424,6937118
2018,California,CA,6,93,71,0619,US House,gen,NA,FALSE,Zoe Lofgren,democrat,FALSE,total,162496,TRUE,220319,FALSE,20200424,6937119
2018,California,CA,6,93,71,0620,US House,gen,NA,FALSE,Jimmy Panetta,democrat,FALSE,total,183677,TRUE,225721,FALSE,20200424,6937120
2018,California,CA,6,93,71,0621,US House,gen,NA,FALSE,TJ Cox,democrat,FALSE,total,57239,TRUE,113616,FALSE,20200424,6937121
2018,California,CA,6,93,71,0622,US House,gen,NA,FALSE,Devin G. Nunes,republican,FALSE,total,117243,TRUE,222379,FALSE,20200424,6937122
2018,California,CA,6,93,71,0623,US House,gen,NA,FALSE,Kevin McCarthy,republican,FALSE,total,131113,TRUE,205774,FALSE,20200424,6937123
2018,California,CA,6,93,71,0624,US House,gen,NA,FALSE,Salud Carbajal,democrat,FALSE,total,166550,TRUE,284431,FALSE,20200424,6937124
2018,California,CA,6,93,71,0625,US House,gen,NA,FALSE,Katie Hill,democrat,FALSE,total,133209,TRUE,245022,FALSE,20200424,6937125
